repo_name,commit_date_range,date_difference
ANSSI-FR/SecuML,2020-02-20 ~ 2016-12-20,1157
microsoft/PQCrypto-SIDH,2020-04-17 ~ 2017-04-17,1096
OWASP/SecureTea-Project,2019-09-08 ~ 2019-06-05,95
crossoverJie/JCSprout,2019-10-14 ~ 2018-04-05,557
avajs/ava,2020-04-19 ~ 2018-08-27,601
swoole/swoole-src,2020-04-20 ~ 2019-12-10,132
yewstack/yew,2020-04-20 ~ 2019-08-14,250
eclipse-vertx/vert.x,2020-04-10 ~ 2019-09-05,218
akka/akka,2020-04-20 ~ 2020-01-17,94
lingochamp/FileDownloader,2019-11-08 ~ 2017-06-05,886
automerge/automerge,2020-04-15 ~ 2018-10-19,544
kaushikgopal/RxJava-Android-Samples,2017-07-17 ~ 2014-09-11,1040
dotnet/orleans,2020-04-16 ~ 2019-08-01,259
